# Logfile created on 2016-09-08 13:56:24 +0200 by logger.rb/v1.2.7
stop:1473336792 #<Container name:borg-6251674199-857 ID:fce9293852a7e54de1df5218d24a285742b4557e50baa75fb37e2591dfbef56f start:1473336608 generation_timestamps:{:nursery=>{:start=>1473336608, :stop=>1473336792}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.2078122287917739, :mean=>1.00987255803102}, :memory=>{:max=>267112448, :mean=>258619542}}>
stop:1473336793 #<Container name:borg-6251672941-324 ID:1b1b21b1752b0768ef7e0b92855a4267060f57a4107eec55e83cf42393c0e24f start:1473336591 generation_timestamps:{:nursery=>{:start=>1473336591, :stop=>1473336793}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.1678237669117648, :mean=>0.4745389685285126}, :memory=>{:max=>267116544, :mean=>262101317}}>
stop:1473336802 #<Container name:borg-6251672941-855 ID:bb4fb012d7c87f0580c512c0453f031432042087fe1cf95e553dbf3f94abe533 start:1473336596 generation_timestamps:{:nursery=>{:start=>1473336596, :stop=>1473336802}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.0883755540897098, :mean=>0.8546358318850605}, :memory=>{:max=>267116544, :mean=>262118021}}>
stop:1473336802 #<Container name:borg-6251674199-118 ID:db8ff473b545a01eec80a9187d16904f9adbcfb1c566a93f6455f1040975de59 start:1473336600 generation_timestamps:{:nursery=>{:start=>1473336600, :stop=>1473336802}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.9806901792717087, :mean=>0.9758193142657451}, :memory=>{:max=>267116544, :mean=>261299159}}>
stop:1473336802 #<Container name:borg-6251674199-751 ID:888ff43feabcdc3213b730f27e83b55aff51f7ff544e3e4aad516810338a6d06 start:1473336607 generation_timestamps:{:nursery=>{:start=>1473336607, :stop=>1473336802}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.8450959659863946, :mean=>0.8770267978868642}, :memory=>{:max=>267112448, :mean=>260512721}}>
stop:1473336806 #<Container name:borg-6251672941-430 ID:4fece93fdf19965797af57a7f79a110b2519544a9a9031194b90ab3347bc2c6a start:1473336589 generation_timestamps:{:nursery=>{:start=>1473336589, :stop=>1473336806}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.085918014354067, :mean=>0.8319857413577891}, :memory=>{:max=>267116544, :mean=>262687171}}>
stop:1473336807 #<Container name:borg-6251672941-959 ID:be1a91f57166fd6e520264e0417dca34654a0198aca5554375a77b162e229002 start:1473336598 generation_timestamps:{:nursery=>{:start=>1473336598, :stop=>1473336807}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.133768065626681, :mean=>0.8586754892574197}, :memory=>{:max=>267116544, :mean=>260510507}}>
stop:1473336807 #<Container name:borg-6251672941-646 ID:661b3ad9e50b2649af22cadaecfdc36961f3ba8409ef7057f9ec29da33b8841d start:1473336594 generation_timestamps:{:nursery=>{:start=>1473336594, :stop=>1473336807}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.2104438903508772, :mean=>0.8440706551652802}, :memory=>{:max=>267116544, :mean=>262091099}}>
stop:1473336827 #<Container name:borg-6251672941-11 ID:4e068c904e48406d27615c9f2df262789459b2977922326f3656e04379db8122 start:1473336588 generation_timestamps:{:nursery=>{:start=>1473336588, :stop=>1473336827}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.1218992042304887, :mean=>0.6078867897416464}, :memory=>{:max=>267112448, :mean=>265145988}}>
stop:1473336827 #<Container name:borg-6251672941-222 ID:6f75f639aa32ee3b940e8884c31d74677aebd4541929fe3c1ffb0a62bc754e37 start:1473336589 generation_timestamps:{:nursery=>{:start=>1473336589, :stop=>1473336827}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.8254694466608847, :mean=>0.6817689166780821}, :memory=>{:max=>267112448, :mean=>262283740}}>
