# Logfile created on 2016-09-08 15:38:34 +0200 by logger.rb/v1.2.7
stop:1473343492 #<Container name:borg-6251747818-0 ID:74317976437eaf2c8aa3609700e9c93d87646ecd9ada025895eb0a23fafa1e7e start:1473343469 generation_timestamps:{:nursery=>{:start=>1473343469, :stop=>1473343491}} generation_current:nursery cpu:0.0 mem:0.005 metrics:{:cpu=>{:max=>0, :mean=>0}, :memory=>{:max=>0, :mean=>0}}>
stop:1473343637 #<Container name:borg-6251540546-0 ID:d5622a8a6687c054877ce06f39d34c43e7b8ced942cfd21dd2e033dc31d7eb69 start:1473341991 generation_timestamps:{:nursery=>{:start=>1473341991, :stop=>1473343637}} generation_current:nursery cpu:0.19992 mem:0.2036 metrics:{:cpu=>{:max=>1.42570271136131, :mean=>0.1319350790624356}, :memory=>{:max=>203599872, :mean=>203003329}}>
stop:1473343662 #<Container name:borg-6251717526-25 ID:9c8a5cb23ed9347ea542751a597a1920f7e035c3e439866ecaa80d34f25c325c start:1473343358 generation_timestamps:{:nursery=>{:start=>1473343358, :stop=>1473343662}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.273671187937063, :mean=>0.5908673907554537}, :memory=>{:max=>267116544, :mean=>264422585}}>
stop:1473343662 #<Container name:borg-6251717526-527 ID:47acf6727f7cbd782b158f512b4ac6388628e155c290496075975c3bba20667e start:1473343361 generation_timestamps:{:nursery=>{:start=>1473343361, :stop=>1473343662}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.2222139015700484, :mean=>0.5802672442359446}, :memory=>{:max=>267116544, :mean=>264878576}}>
stop:1473343662 #<Container name:borg-6251717526-125 ID:4af653e725b10d25aa0b05011931466be39932cf3de2c117f100e2fab63e7b23 start:1473343358 generation_timestamps:{:nursery=>{:start=>1473343358, :stop=>1473343662}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.2156047965850036, :mean=>0.28042049004502945}, :memory=>{:max=>267116544, :mean=>265010119}}>
stop:1473343662 #<Container name:borg-6251717526-729 ID:2e07dc7ed17279670c5a59398609b654326e3e59e889c86216991e59e21fff4b start:1473343362 generation_timestamps:{:nursery=>{:start=>1473343362, :stop=>1473343662}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.9380523139442232, :mean=>0.5887937547285438}, :memory=>{:max=>267116544, :mean=>263862701}}>
stop:1473343667 #<Container name:borg-6251712256-957 ID:07664432d647844219f1065dbd91c608a619621e627f787a098edb79cb354b70 start:1473343338 generation_timestamps:{:nursery=>{:start=>1473343338, :stop=>1473343667}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.177222319785276, :mean=>0.5401916921229364}, :memory=>{:max=>267116544, :mean=>264008343}}>
stop:1473343667 #<Container name:borg-6251717526-326 ID:e1c2e10fd2f9e705077d23499d7f30168f335f6c93478608cfd156a0974fdf53 start:1473343358 generation_timestamps:{:nursery=>{:start=>1473343358, :stop=>1473343667}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.4084813052721088, :mean=>0.578478617304189}, :memory=>{:max=>267116544, :mean=>264334299}}>
stop:1473343671 #<Container name:borg-6251712256-586 ID:96de5a3a3276571b997ccc75d56065451f86cd4c9b1d2311ea20f785d6d18b16 start:1473343336 generation_timestamps:{:nursery=>{:start=>1473343336, :stop=>1473343671}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.1383430927624874, :mean=>0.45749750009862117}, :memory=>{:max=>267116544, :mean=>265673373}}>
stop:1473343677 #<Container name:borg-6251712256-829 ID:7bf168d66887ee0b40c5baa233e6d4355f906f050dc689169503c82ac0be892d start:1473343338 generation_timestamps:{:nursery=>{:start=>1473343338, :stop=>1473343677}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.3993363305966064, :mean=>0.4690361294228948}, :memory=>{:max=>267116544, :mean=>264586380}}>
