#time count_nursery count_young count_tenured
1473854129 5 1 3
1473854130 5 1 3
1473854131 5 1 3
1473854132 5 1 3
1473854133 5 1 3
1473854134 5 1 3
1473854135 5 1 3
1473854136 5 1 3
1473854137 5 1 3
1473854138 5 1 3
1473854139 5 1 3
1473854140 5 1 3
1473854141 5 1 3
1473854142 5 1 3
1473854143 5 1 3
1473854144 5 1 3
1473854145 5 1 3
1473854146 5 1 3
1473854147 5 1 3
1473854148 5 1 3
1473854149 5 1 3
1473854150 5 1 3
1473854151 5 1 3
1473854152 5 1 3
1473854153 5 1 3
1473854154 5 1 3
1473854155 5 1 3
1473854156 5 1 3
1473854157 5 1 3
1473854158 5 1 3
1473854159 5 1 3
1473854160 5 1 3
1473854161 5 1 3
1473854162 5 1 3
1473854163 5 1 3
1473854164 5 1 3
1473854165 5 1 3
1473854166 5 1 3
1473854167 5 1 3
1473854168 5 1 3
1473854169 5 1 3
1473854170 5 1 3
1473854171 5 1 3
1473854172 5 1 3
1473854173 5 1 3
1473854174 5 1 3
1473854175 5 1 3
1473854176 5 1 3
1473854177 5 1 3
1473854178 5 1 3
1473854179 5 1 3
1473854180 5 1 3
1473854181 5 1 3
1473854182 5 1 3
1473854183 5 1 3
1473854184 5 1 3
1473854185 5 1 3
1473854186 5 1 3
1473854187 5 1 3
1473854188 5 1 3
1473854189 5 1 3
1473854190 5 1 3
1473854191 5 1 3
1473854192 5 1 3
1473854193 5 1 3
1473854194 5 1 3
1473854195 5 1 3
1473854196 5 1 3
1473854197 5 1 3
1473854198 5 1 3
1473854199 5 0 3
1473854200 5 0 3
1473854201 5 0 3
1473854202 5 0 3
1473854203 5 0 3
1473854204 5 0 3
1473854205 5 0 3
1473854206 5 0 3
1473854207 5 0 3
1473854208 5 0 3
1473854209 5 0 3
1473854210 5 0 3
1473854211 5 0 3
1473854212 5 0 3
1473854213 5 0 3
1473854214 5 0 3
1473854215 5 0 3
1473854216 5 0 3
1473854217 5 0 3
1473854218 5 0 3
1473854219 5 0 3
1473854220 5 0 3
1473854221 5 0 3
1473854222 5 0 3
1473854223 5 0 3
1473854224 5 0 3
1473854225 5 0 3
1473854226 5 0 3
1473854227 5 0 3
1473854228 5 1 3
1473854229 5 1 3
1473854230 5 2 3
1473854231 5 2 3
1473854232 5 2 3
1473854233 5 2 3
1473854234 5 2 3
1473854235 5 2 3
1473854236 5 2 3
1473854237 5 2 3
1473854238 5 2 3
1473854239 5 2 3
1473854240 5 2 3
1473854241 5 2 3
1473854242 5 2 3
1473854243 5 2 3
1473854244 5 2 3
1473854245 5 2 3
1473854246 5 3 3
1473854247 5 3 3
1473854248 5 3 3
1473854249 5 3 3
1473854250 5 3 3
1473854251 5 3 3
1473854252 5 3 3
1473854253 5 3 3
1473854254 5 3 3
1473854255 5 3 3
1473854256 5 3 3
1473854257 5 3 3
1473854258 5 3 3
1473854259 5 3 3
1473854260 5 3 3
1473854261 5 3 3
1473854262 5 3 3
1473854263 5 3 3
1473854264 5 3 3
1473854265 5 3 3
1473854266 5 3 3
1473854267 5 3 3
1473854268 5 3 3
1473854269 5 3 3
1473854270 5 3 3
1473854271 5 3 2
1473854272 5 3 2
1473854273 5 3 2
1473854274 5 3 2
1473854275 5 3 2
1473854276 5 3 2
1473854277 5 3 2
1473854278 5 3 2
1473854279 5 3 2
1473854280 5 3 2
1473854281 5 3 2
1473854282 5 3 2
1473854283 5 3 2
1473854284 5 3 2
1473854285 5 3 2
1473854286 5 3 2
1473854287 5 3 2
1473854288 5 3 2
1473854289 5 3 2
1473854290 5 3 2
1473854291 5 3 2
1473854292 5 3 2
1473854293 5 3 2
1473854294 5 4 2
1473854295 5 4 2
1473854296 5 4 2
1473854297 5 4 2
1473854298 5 4 2
1473854299 5 4 2
1473854300 5 4 2
1473854301 5 4 2
1473854302 5 4 2
1473854303 5 4 2
1473854304 5 4 2
1473854305 5 4 2
1473854306 5 4 2
1473854307 5 4 2
1473854308 5 4 2
1473854309 5 4 2
1473854310 5 4 2
1473854311 5 4 2
1473854312 5 4 2
1473854313 5 4 2
1473854314 5 4 2
1473854315 5 4 2
1473854316 5 4 2
1473854317 5 4 2
1473854318 5 4 2
1473854319 5 4 2
1473854320 5 4 2
1473854321 5 4 2
1473854322 5 4 2
1473854323 5 4 2
1473854324 5 4 2
1473854325 5 4 2
1473854326 5 4 2
1473854327 5 4 2
1473854328 5 4 2
1473854329 5 4 2
1473854330 5 4 2
1473854331 5 4 2
1473854332 5 4 2
1473854333 5 4 2
1473854334 5 4 2
1473854335 5 4 2
1473854336 5 4 2
1473854337 5 4 2
1473854338 5 4 2
1473854339 5 4 2
1473854340 5 4 2
1473854341 5 4 2
1473854342 5 4 2
1473854343 5 4 2
1473854344 5 4 2
1473854345 5 4 2
1473854346 5 4 2
1473854347 5 4 2
1473854348 5 4 2
1473854349 5 4 2
1473854350 5 4 2
1473854351 5 4 2
1473854352 5 4 2
1473854353 5 4 2
1473854354 5 4 2
1473854355 5 4 2
1473854356 5 4 2
1473854357 5 4 2
1473854358 5 4 2
1473854359 5 4 2
1473854360 5 4 2
1473854361 5 4 2
1473854362 5 4 2
1473854363 5 4 2
1473854364 5 4 2
1473854365 5 4 2
1473854366 5 4 2
1473854367 5 4 2
1473854368 5 4 2
1473854369 5 4 2
1473854370 5 4 2
1473854371 5 4 2
1473854372 5 4 2
1473854373 5 4 2
1473854374 5 4 2
1473854375 5 4 2
1473854376 5 4 2
1473854377 5 4 2
1473854378 5 4 2
1473854379 5 4 2
1473854380 5 4 2
1473854381 5 4 2
1473854382 5 4 1
1473854383 5 4 1
1473854384 5 4 1
1473854385 5 4 1
1473854386 5 4 1
1473854387 5 4 1
1473854388 5 4 1
1473854389 5 4 1
1473854390 5 4 1
1473854391 5 4 1
1473854392 5 4 1
1473854393 5 4 1
1473854394 5 4 1
1473854395 5 4 1
1473854396 5 4 1
1473854397 5 4 1
1473854398 5 4 1
1473854399 5 4 1
1473854400 5 4 1
1473854401 5 4 1
1473854402 5 4 1
1473854403 5 4 1
1473854404 5 4 1
1473854405 5 4 1
1473854406 5 4 1
1473854407 5 4 1
1473854408 5 4 1
1473854409 5 4 1
1473854410 5 4 1
1473854411 5 4 1
1473854412 5 4 1
1473854413 5 4 1
1473854414 5 4 1
1473854415 5 4 1
1473854416 5 4 1
1473854417 5 4 1
1473854418 5 4 1
1473854419 5 4 1
1473854420 5 4 1
1473854421 5 4 1
1473854422 5 4 1
1473854423 5 4 1
1473854424 5 4 1
1473854425 5 4 1
1473854426 5 4 1
1473854427 5 4 1
1473854428 5 4 1
1473854429 5 4 1
1473854430 5 4 1
1473854431 5 4 1
1473854432 5 4 1
1473854433 5 4 1
1473854434 5 4 1
1473854435 5 4 1
1473854436 5 4 1
1473854437 5 4 1
1473854438 5 4 1
1473854439 5 4 1
1473854440 5 4 1
1473854441 5 4 1
1473854442 5 4 1
1473854443 5 4 1
1473854444 5 4 1
1473854445 5 4 1
1473854446 5 4 1
1473854447 5 4 1
1473854448 5 4 1
1473854449 5 4 1
1473854450 5 4 1
1473854451 5 4 1
1473854452 5 4 1
1473854453 5 4 1
1473854454 5 4 1
1473854455 5 4 1
1473854456 5 4 1
1473854457 5 4 1
1473854458 5 4 1
1473854459 5 4 1
1473854460 5 4 1
1473854461 5 4 1
1473854462 5 4 1
1473854463 5 4 1
1473854464 5 4 1
1473854465 5 4 1
1473854466 5 4 1
1473854467 5 4 1
1473854468 5 4 1
1473854469 5 4 1
1473854470 5 4 1
1473854471 5 4 1
1473854472 5 4 1
1473854473 5 4 1
1473854474 5 4 1
1473854475 5 4 1
1473854476 5 4 1
1473854477 5 4 1
1473854478 5 4 1
1473854479 5 4 1
1473854480 5 4 1
1473854481 5 4 1
1473854482 5 4 1
1473854483 5 4 1
1473854484 5 4 1
1473854485 5 4 1
1473854486 5 4 1
1473854487 5 4 1
1473854488 5 4 1
1473854489 5 4 1
1473854490 5 4 1
1473854491 5 4 1
1473854492 5 4 1
1473854493 5 4 1
1473854494 5 4 1
1473854495 5 4 1
1473854496 5 4 1
1473854497 5 4 1
1473854498 5 4 1
1473854499 5 4 1
1473854500 5 4 1
1473854501 5 4 1
1473854502 5 4 1
1473854503 5 4 1
1473854504 5 4 1
1473854505 5 4 1
1473854506 5 4 1
1473854507 5 4 1
1473854508 5 4 1
1473854509 5 4 1
1473854510 5 4 1
1473854511 5 4 1
1473854512 5 4 1
1473854513 5 4 1
1473854514 5 4 1
1473854515 5 4 1
1473854516 5 4 1
1473854517 5 4 1
1473854518 5 4 1
1473854519 5 4 1
1473854520 5 4 1
1473854521 5 4 1
1473854522 5 4 1
1473854523 5 4 1
1473854524 5 4 1
1473854525 5 4 1
1473854526 5 4 1
1473854527 5 4 1
1473854528 5 4 1
1473854529 5 4 1
1473854530 5 4 1
1473854531 5 4 1
1473854532 5 4 1
1473854533 5 4 1
1473854534 5 4 1
1473854535 5 4 1
1473854536 5 4 1
1473854537 5 4 1
1473854538 5 4 1
1473854539 5 4 1
1473854540 5 4 1
1473854541 5 4 1
1473854542 5 4 1
1473854543 5 4 1
1473854544 5 4 1
1473854545 5 4 1
1473854546 5 4 1
1473854547 5 4 1
1473854548 5 4 1
1473854549 5 4 1
1473854550 5 4 1
1473854551 5 4 1
1473854552 5 4 1
1473854553 5 4 1
1473854554 5 4 1
1473854555 5 4 1
1473854556 5 3 1
1473854557 5 3 1
1473854558 5 3 1
1473854559 5 4 1
1473854560 5 4 1
1473854561 5 4 1
1473854562 5 4 1
1473854563 5 4 1
1473854564 5 4 1
1473854565 5 4 1
1473854566 5 4 1
1473854567 5 4 1
1473854568 5 4 1
1473854569 5 4 1
1473854570 5 4 1
1473854571 5 4 1
1473854572 5 4 1
1473854573 5 4 1
1473854574 5 4 1
1473854575 5 4 1
1473854576 5 4 1
1473854577 5 4 1
1473854578 5 4 1
1473854579 5 4 1
1473854580 5 4 1
1473854581 5 4 1
1473854582 5 4 1
1473854583 5 4 0
1473854584 5 4 0
1473854585 5 4 0
1473854586 5 4 0
1473854587 5 4 0
1473854588 5 4 0
1473854589 5 4 0
1473854590 5 4 0
1473854591 5 4 0
1473854592 5 4 0
1473854593 5 4 0
1473854594 5 4 0
1473854595 5 4 0
1473854596 5 4 0
1473854597 5 4 0
1473854598 5 4 0
1473854599 5 4 0
1473854600 5 4 0
1473854601 5 4 0
1473854602 5 4 0
1473854603 5 4 0
1473854604 5 4 0
1473854605 5 4 0
1473854606 5 4 0
1473854607 5 4 0
1473854608 5 4 0
1473854609 5 4 0
1473854610 5 4 0
1473854611 5 4 0
1473854612 5 4 0
1473854613 5 4 0
1473854614 5 4 0
1473854615 5 4 0
1473854616 5 4 0
1473854617 5 4 0
1473854618 5 4 0
1473854619 5 4 0
1473854620 5 4 0
1473854621 5 4 0
1473854622 5 4 0
1473854623 5 4 0
1473854624 5 4 0
1473854625 5 4 0
1473854626 5 4 0
1473854627 5 4 0
1473854628 5 4 0
1473854629 5 4 0
1473854630 5 4 0
1473854631 5 4 0
1473854632 5 4 0
1473854633 5 4 0
1473854634 5 4 0
1473854635 5 4 0
1473854636 5 4 0
1473854637 5 4 0
1473854638 5 4 0
1473854639 5 4 0
1473854640 5 4 0
1473854641 5 4 0
1473854642 5 4 0
1473854643 5 4 0
1473854644 5 4 0
1473854645 5 4 0
1473854646 5 4 0
1473854647 5 4 0
1473854648 5 4 0
1473854649 5 4 0
1473854650 5 4 0
1473854651 5 4 0
1473854652 5 4 0
1473854653 5 4 0
1473854654 5 4 0
1473854655 5 4 0
1473854656 5 4 0
1473854657 5 4 0
1473854658 5 4 0
1473854659 5 4 0
1473854660 5 4 0
1473854661 5 4 0
1473854662 5 4 0
1473854663 5 4 0
1473854664 5 4 0
1473854665 5 4 0
1473854666 5 4 0
1473854667 5 4 0
1473854668 5 4 0
1473854669 5 4 0
1473854670 5 4 0
1473854671 5 4 0
1473854672 5 4 0
1473854673 5 4 0
1473854674 5 4 0
1473854675 5 4 0
1473854676 5 4 0
1473854677 5 4 0
1473854678 5 4 0
1473854679 5 4 0
1473854680 5 4 0
1473854681 5 4 0
1473854682 5 4 0
1473854683 5 4 0
1473854684 5 4 0
1473854685 5 4 0
1473854686 5 4 0
1473854687 5 4 0
1473854688 5 4 0
1473854689 5 4 0
1473854690 5 4 0
1473854691 5 4 0
1473854692 5 4 0
1473854693 5 4 0
1473854694 5 4 0
1473854695 5 4 0
1473854696 5 4 0
1473854697 5 4 0
1473854698 5 4 0
1473854699 5 4 0
1473854700 5 4 0
1473854701 5 4 0
1473854702 5 4 0
1473854703 5 4 0
1473854704 5 4 0
1473854705 5 4 0
1473854706 5 4 0
1473854707 5 4 0
1473854708 5 4 0
1473854709 5 4 0
1473854710 5 4 0
1473854711 5 4 0
1473854712 5 4 0
1473854713 5 4 0
1473854714 5 4 0
1473854715 5 4 0
1473854716 5 4 0
1473854717 5 4 0
1473854718 5 4 0
1473854719 5 4 0
1473854720 5 4 0
1473854721 5 4 0
1473854722 5 4 0
1473854723 5 4 0
1473854724 5 4 0
1473854725 5 4 0
1473854726 5 4 0
1473854727 5 4 0
1473854728 5 4 0
1473854729 5 4 0
1473854730 5 4 0
1473854731 5 4 0
1473854732 5 4 0
1473854733 5 4 0
1473854734 5 4 0
1473854735 5 4 0
1473854736 5 4 0
1473854737 5 4 0
1473854738 5 4 0
1473854739 5 4 0
1473854740 5 4 0
1473854741 5 4 0
